SUPERUSDT||False|||||||||||4
SUPERUSDT||True|||||||||||1
SUPERUSDT|0001100010|False|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|1
SUPERUSDT|0000110001|False|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1
SUPERUSDT|0000011000|True|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|1
SUPERUSDT|1000001100|True|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|1
SUPERUSDT|1100000110|True|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0,25 - 0,5|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|1
SUPERUSDT|1110000011|True|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0 - -0,25|0,0 - 0,25|1
SUPERUSDT|1111000001|True|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0 - -0,25|1
SUPERUSDT|1111100000|False|1 - 2|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|2 - 3|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0 - -0,25|1
SUPERUSDT|0111110000|False|0,25 - 0,5|1 - 2|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|1 - 2|2 - 3|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1
SUPERUSDT|0011111000|True|0,25 - 0,5|0,25 - 0,5|1 - 2|0,0 - 0,25|0,0 - 0,25|0,5 - 1|1 - 2|2 - 3|0,5 - 1|0,25 - 0,5|1
